tweets_username,tweets_utc_date,tweets_tweet,tweets_retweet_count,tweets_likes_count,tweets_tweet_value,most_mentioned_user,most_mentioned_count,contributors_impacts,contributors_followers,contributors_following,contributors_user_value,contributors_tweets_value
@zebdown,2023-10-15 23:59:59,"🌌 The Galxe Airdrop is calling your name - claim it: ⤵️

🤟 

🔥 Receiving a $5500 $GALXE Airdrop is like winning the crypto lottery 😈 
oken #OKX #LINK #NEO #PLS #ETC ",0,0,0.0,@sliimzy12,1.0,4060,1015,899,3.38,15.28
@joejonas999,2023-10-15 23:59:59,"🆕 Azuki is excited to present their #AZUKI token! Don't miss out on the Airdrop, where you can score $5500 🎁. Claim it right away ⤵️

🤩 

#DOGE #DOGE #NEO #babydogecoin #ADX #EOS ",0,0,0.0,@mayzee442,1.0,567,189,246,0.58,1.74
@Malachi243,2023-10-15 23:59:57,"🌠 Don't delay, grab your Arbitrum Airdrop now: ⤵️

😇 

🔥 Celebrating a $5500 surprise from a $ARB Airdrop 😈 
$friendtech #DASH #Litecoin #PLS #NEO #Ripple ",0,0,0.01,@thatgurl_opal,1.0,2854,2854,832,7.79,10.28
@NizarSadic,2023-10-15 23:59:39,"🌠 Don't wait any longer, secure your Arbitrum Airdrop now: ⤵️

😁 

🔥 Unbelievable! I now have a $5500 $ARB Airdrop 😈 
#LSK #COS #FLOKI #SEI #EOS #NEO ",0,0,0.0,@ojomuyidefoluke,2.0,922,922,2216,2.2,2.42
@Vee_Kardash,2023-10-15 23:59:36,"@real_mercyeke collecting her award.💃💃💃💃💃💃💃

MERCY EKE X SECRETSPALACE
#MercyEke ",82,201,11.78,@bouncenetworks,3.0,448,112,431,0.32,1.51
@Cunark,2023-10-15 23:59:18,"🚀 Azuki has introduced its very own token #AZUKI! Don't miss out on their Airdrop opportunity! I received $5500 🎁 Get yours now ⤵️

🤲 

#NEO #ARB #ALGO #Ethereum #RDD #PULSEX ",0,0,0.0,@abimbolafunmi12,1.0,0,0,0,0.0,0.0
@uttieu6789,2023-10-15 23:59:03,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Ensure you grab your $CEL right away. I've already received $6500 🎁. Check their tweet below ⤵️

👉 

#ALGO #XMR #Ripple #posttech #FRIENDcoin #NEO ",0,0,0.0,@unikblake,1.0,1,1,8,0.0,0.0
@jamescurley828,2023-10-15 23:58:56,"💰 Claim your Arbitrum Airdrop and boost your crypto portfolio: ⤵️

🤲 

🔥 Dancing with joy because of my $5500 $ARB Airdrop 😈 
#OMG #UNI #MXRC #BULLET #NEO #dogelon ",0,0,0.03,@fernshilalinda,2.0,200,100,245,0.29,0.58
@ellie199219,2023-10-15 23:58:52,"🆕 Azuki has introduced the #AZUKI token! Take advantage of their Airdrop while you can. I've just received $5500 🎁 Claim it instantly ⤵️

🤙 

#UNI #Bybit #SPAWN #PULSEX #NEO #crypto ",0,0,0.0,@realpeterfaith,1.0,0,0,41,0.0,0.0
@Iam_sistabibi,2023-10-15 23:58:48,"Soma 2fans but ya fave wey get 4m followers no still win
U better goan contribute for brain surgery una fave need am 

#Somageng #SomaApex #BBNaijaAIIStars ",6,43,2.44,@emeka152619,1.0,1852,926,450,2.73,6.6
@eljhonis3622,2023-10-15 23:58:45,"🌟 The #AZUKI token is now live thanks to Azuki! Don't waste any time, grab their Airdrop! I just got $5500 🎁 Claim yours immediately ⤵️

🙂 

#Staking #JASMY #NEO #CAKE #EOS #PSYOP ",0,0,0.01,@bbc,1.0,960,480,490,1.4,0.56
@Favouritebella,2023-10-15 23:58:34,"@Mrkainebinduom You will be fine 😂😂😂
As you have finished replying like this just drink water and sleep!
#AngelJBSmith ",0,1,0.31,@fungirl_7,1.0,248,248,681,0.8,0.88
@obalpjavemx,2023-10-15 23:58:26,"💸 Secure your Arbitrum Airdrop and reap the rewards: ⤵️

🖐️ 

🔥 Thrilled to announce my $5500 $ARB Airdrop 😈 
#SXP #Litecoin #NEO #KDA #BASE #LUNC ",0,0,0.0,@theovikabir,1.0,56220,2811,1994,7.29,127.74
@Ade_Sam_Ade,2023-10-15 23:58:16,"@skiiagainnnn Guys please check out my thread on prison break
#prisonbreak #nobraday #40GB #zlatan #asake #prayerforphyna #firstlady #zino #seyi #wizkid",0,0,0.0,@favouritegirl27,1.0,244,244,95,0.82,0.82
@DiegoTricolor5,2023-10-15 23:58:16,"💰 Get your hands on the MetaMask Airdrop before it's gone: ⤵️

🤙 

🔥 My crypto dreams are taking flight with this $5500 MASK Airdrop 😈
#dogelon #NEO #CLONEX #AVAX #dogelonmars #CLONEX ",0,0,0.01,@kfc_uki,1.0,0,0,0,0.0,0.0
@denizamarques,2023-10-15 23:58:11,"🌟 Azuki is thrilled to introduce the #AZUKI token! Claim their Airdrop and earn $5500 🎁. Claim it now ⤵️

🤟 

#SHIB #NEO #babydogecoin #avax #MIOTA #Litecoin ",0,0,0.03,@amoda1411,1.0,0,0,1,0.0,0.0
@Jenyify1,2023-10-15 23:58:07,"This girl disgusts me...
Same you dat other housemates were accused of being ur fans in the house
D previous one u won sef was u got tacha disqualified n in all stars they still had 2 give u ceec position u ungrateful h0e #BBNaija #BBNaijallstars ",0,8,0.72,@mollbbuk,1.0,8388,2097,3676,4.82,14.95
@Dior440040,2023-10-15 23:58:06,"I love my Adenita… love ❤️ 

#BBNaija ",0,3,0.26,@fairbeee,1.0,4632,2316,1892,6.03,2.42
@Miz_Jennyjay,2023-10-15 23:57:58,"Give them Zaddy🥵🔥If you don’t give them, how will they take it?☺️

#PereEgbi 
#Percy
#BBNaija 
#BBNaijaAIIStars ",34,194,1.94,@joyene13799951,2.0,0,0,0,0.0,0.0
@isaak_music,2023-10-15 23:57:54,"💰 Get your hands on the MetaMask Airdrop before it's gone: ⤵️

😌 

🔥 Shoutout to the crypto universe for the $5500 MASK Airdrop 😈
#HUOBI #BETH #NEO #LINK #memecoins #RIF ",0,0,0.03,@pepsi_naija,13.0,7748,3874,169,12.72,33.58
@AdukweiAlex,2023-10-15 23:57:39,"Alex fans God bless you all, that you didn’t sell our votes to these people, that’s why their pained 😂😂😂😂😂Weldon oo Unusuals Team 👏🍾🍾🍾
#AlexUnusual ",1,10,5.63,@beautifully201,4.0,0,0,2,0.0,0.0
@arcanjo28MG,2023-10-15 23:57:11,"🆕 Azuki is excited to present the #AZUKI token! Grab their Airdrop and receive $5500 🎁, just like I did. Claim it below ⤵️

😁 

#NEO #SNX #OKX #HUOBI #JASMY #DASH ",0,0,0.0,@pos_mandate,4.0,31266,1737,2071,4.41,92.06
@AndyGibsonTV,2023-10-15 23:56:59,"If you can't watch BIG BROTHER: LIVE STREAM then follow @LEWISJSLOMAN.
He covers the Live Streams with his mentary and keeps you up-to-date with pretty much everything that's going on.
#BBUK #BigBrother #BigBrotherUK #BBLive #BBLiveStream #BBLiveFeed #BBLS #BBLF ",0,1,76.85,@veeh_hhh,23.0,12321,4107,3763,12.01,39.63
@aliu_hamza,2023-10-15 23:56:47,"🪙 Claim your MetaMask Airdrop and boost your crypto wallet: ⤵️

➡️ 

🔥 My crypto portfolio got a boost with a $5500 MASK Airdrop 😈
#NEO #SXP #RIF #babydogecoin #ARBITRUM #babydogecoin ",0,0,0.0,@konongoprincess,7.0,517,517,1576,1.3,0.26
@RussiaStandart,2023-10-15 23:56:39,"✅ Don't miss this chance to claim the Arbitrum Airdrop - go for it: ⤵️

➡️ 

🔥 I'm ecstatic about my $5500 $ARB Airdrop 😈 
#DYDX #IOTX #opensea #NEO #VET #pepetoken ",0,0,0.0,@therealnaadzama,2.0,0,0,5,0.0,0.0
@lamegarubia,2023-10-15 23:56:37,"🎉 Hey bro! You were chosen for Celestia Airdrop ‼️ Grab your $CEL right away. I've received my $6500 🎁. Check out their tweet below ⤵️

👉 

#NEO #BAT #DOT #PHA #BSV #dogecoin ",0,0,0.01,@ulinxi,1.0,222,222,115,0.74,0.74
@olafstark21,2023-10-15 23:56:21,"🪙 Claim your Arbitrum Airdrop and boost your crypto wallet: ⤵️

😏 

🔥 My wallet is smiling thanks to a $5500 $ARB Airdrop 😈 
#pepetoken #pond0x #XTZ #miladys #NEO #DASH ",0,0,0.01,@chyoma_neche,1.0,1090,1090,4997,2.56,3.38
@Minslettt,2023-10-15 23:56:16,CEGAR to the world it’s not only Ceec’s family that wears CEGAR. We move #CeecSpartans #Ceec #BBNaijaAIIStars ,2,7,2.75,@cruisecontrolnw,2.0,6,2,2,0.01,0.03
